year,gu,population,area,density
2019,송파구,682741 ,34 ,20156 
2019,강서구,598273 ,41 ,14438 
2019,강남구,550209 ,40 ,13929 
2019,노원구,537303 ,35 ,15162 
2019,관악구,517334 ,30 ,17496 
2019,은평구,484546 ,30 ,16308 
2019,양천구,462285 ,17 ,26559 
2019,성북구,454744 ,25 ,18505 
2019,강동구,440390 ,25 ,17909 
2019,구로구,439371 ,20 ,21837 
2019,서초구,435107 ,47 ,9261 
2019,동작구,408912 ,16 ,25003 
2019,중랑구,402024 ,19 ,21736 
2019,영등포구,400986 ,25 ,16334 
2019,마포구,385925 ,24 ,16180 
2019,광진구,366972 ,17 ,21507 
2019,동대문구,363023 ,14 ,25537 
2019,도봉구,335631 ,21 ,16245 
2019,서대문구,323171 ,18 ,18335 
2019,강북구,317695 ,24 ,13462 
2019,성동구,308979 ,17 ,18327 
2019,금천구,251820 ,13 ,19341 
2019,용산구,245185 ,22 ,11213 
2019,종로구,161869 ,24 ,6769 
2019,중구,136488 ,10 ,13704 
