Symbol,Name,Price,Volume,Market cap,P/E,52_high
AAPL,APPLE INC.,149.64,90978504,2.42195E+12,23.4,182.94
ABBV,ABBVIE INC.,150,8404961,2.65067E+11,21.6,175.91
AMZN,"AMAZON.COM, INC.",2302.93,4683008,1.17155E+12,53.7,3773.0782
BA,THE BOEING COMPANY,132.23,7261516,78232010000,0,258.3957
DIS,THE WALT DISNEY COMPANY,109.32,13671313,1.99125E+11,71.4,187.5799
FB,"Meta Platforms, Inc.",195.13,22562727,5.28085E+11,14.5,384.33
GOOGL,ALPHABET INC.,2246.33,1895706,1.48223E+12,19.5,3030.9315
INTC,INTEL CORPORATION,44.55,30553321,1.82165E+11,7.2,58.415
JNJ,JOHNSON & JOHNSON,181.09,5853621,4.76521E+11,24.2,186.69
JPM,JPMORGAN CHASE & CO.,131.27,11177759,3.85547E+11,9.6,172.96
KO,THE COCA-COLA COMPANY,64.68,17708983,2.8039E+11,27.1,67.2
LMT,LOCKHEED MARTIN CORPORATION,450.56,1265926,1.19897E+11,19.8,479.99
MCD,MCDONALD'S CORPORATION,251.87,2063755,1.8627E+11,26.2,271.15
MSFT,MICROSOFT CORPORATION,273.24,26910806,2.04357E+12,27.7,349.67
NFLX,"NETFLIX, INC.",195.19,8585987,86717810000,18.3,700.9894
NKE,"NIKE, INC.",115.99,5043216,1.82541E+11,29.8,179.1
NVDA,NVIDIA CORPORATION,188.11,73837935,4.7103E+11,47.9,346.47
PEP,"PEPSICO, INC.",171.77,6713600,2.37504E+11,22.8,177.62
PFE,PFIZER INC.,53.91,21407507,3.02483E+11,12.2,61.71
PG,THE PROCTER & GAMBLE COMPANY,148.72,6028846,3.56823E+11,25.6,165.35
SBUX,STARBUCKS CORPORATION,76.71,8498381,87978700000,19.9,126.32
TSLA,"TESLA, INC.",759.63,29764994,7.86984E+11,95.7,1243.49
XOM,EXXON MOBIL CORPORATION,97.59,25588794,4.11102E+11,16,97.93
