Symbol,Current Price,Date,Time,Change,Open,High,Low,Volume,Trade Date,Purchase Price,Quantity,Commission,High Limit,Low Limit,Comment
IAU,35.23,2022/05/27,16:00 EDT,0.02999878,35.34,35.355,35.17,4695204,,,,,,,
AAPL,149.64,2022/05/27,16:00 EDT,5.8600006,145.39,149.66,145.26,90978504,,,,,,,
ABBV,150.0,2022/05/27,16:03 EDT,-0.5700073,149.52,150.05,147.75,8404961,,,,,,,
AMD,102.26,2022/05/27,16:00 EDT,3.5100021,100.14,102.4,99.39,104348440,,,,,,,
AMZN,2302.93,2022/05/27,16:00 EDT,81.37988,2271.0,2303.74,2252.56,4683008,,,,,,,
BA,132.23,2022/05/27,16:00 EDT,4.49999,128.77,132.23,128.32,7261516,,,,,,,
BAC,37.02,2022/05/27,16:00 EDT,0.350002,36.89,37.05,36.58,43365604,,,,,,,
CSCO,45.62,2022/05/27,16:00 EDT,0.62999725,45.12,45.64,44.9533,23882056,,,,,,,
DIA,332.07,2022/05/27,16:00 EDT,5.619995,327.05,332.13,326.82,2773115,,,,,,,
DIS,109.32,2022/05/27,16:04 EDT,3.709999,106.89,109.37,106.53,13671313,,,,,,,
FB,195.13,2022/05/27,16:00 EDT,3.5,191.36,195.3329,189.8,22562727,,,,,,,
GILD,64.8,2022/05/27,16:00 EDT,0.33000183,64.43,64.8,63.9,6436149,,,,,,,
GOOGL,2246.33,2022/05/27,16:00 EDT,90.47998,2189.66,2246.36,2183.78,1895706,,,,,,,
IBM,139.27,2022/05/27,16:00 EDT,2.38,137.39,139.7394,137.29,4608215,,,,,,,
IEF,104.41,2022/05/27,16:00 EDT,0.15000153,104.45,104.58,104.225,2508247,,,,,,,
INTC,44.55,2022/05/27,16:00 EDT,1.0699997,43.59,44.55,43.55,30553321,,,,,,,
JEPI,58.5,2022/05/27,16:00 EDT,0.8100014,57.87,58.5,57.8609,2089472,,,,,,,
JNJ,181.09,2022/05/27,16:00 EDT,1.62999,179.76,181.16,178.23,5853621,,,,,,,
JPM,131.27,2022/05/27,16:00 EDT,1.83,130.16,131.27,129.14,11177759,,,,,,,
KO,64.68,2022/05/27,16:00 EDT,0.37999725,64.26,64.83,64.14,17708983,,,,,,,
LMT,450.56,2022/05/27,16:04 EDT,2.5700073,451.14,451.47,444.46,1265926,,,,,,,
MCD,251.87,2022/05/27,16:00 EDT,3.7799988,249.5,251.87,248.78,2063755,,,,,,,
MO,54.43,2022/05/27,16:04 EDT,-0.069999695,54.62,54.76,54.11,7356707,,,,,,,
MSFT,273.24,2022/05/27,16:00 EDT,7.3399963,268.48,273.34,267.56,26910806,,,,,,,
NFLX,195.19,2022/05/27,16:00 EDT,3.7900085,193.19,195.25,190.3722,8585987,,,,,,,
NKE,115.99,2022/05/27,16:00 EDT,3.05,114.22,115.995,114.01,5043216,,,,,,,
NVDA,188.11,2022/05/27,16:00 EDT,9.600006,181.86,188.81,181.0,73837935,,,,,,,
O,69.35,2022/05/27,16:00 EDT,1.28,68.5,69.36,68.43,3369575,,,,,,,
PEP,171.77,2022/05/27,16:00 EDT,1.6600037,171.26,171.81,170.2,6713600,,,,,,,
PFE,53.91,2022/05/27,16:03 EDT,-0.08000183,53.92,54.405,53.515,21407507,,,,,,,
PG,148.72,2022/05/27,16:03 EDT,2.2400055,146.97,148.72,146.63,6028846,,,,,,,
QQQ,309.1,2022/05/27,16:00 EDT,9.77002,302.54,309.25,302.4267,66985596,,,,,,,
SBUX,76.71,2022/05/27,16:00 EDT,2.2200012,75.23,76.72,75.16,8498381,,,,,,,
SCHD,79.12,2022/05/27,16:00 EDT,1.2099991,78.22,79.12,78.1311,2411803,,,,,,,
SHY,83.48,2022/05/27,16:00 EDT,0.020004272,83.49,83.5,83.44,6058594,,,,,,,
SPLG,48.86,2022/05/27,16:00 EDT,1.1800003,47.99,48.86,47.96,2824476,,,,,,,
SPY,415.26,2022/05/27,16:00 EDT,9.95001,407.91,415.3801,407.71,84769585,,,,,,,
SPYG,57.31,2022/05/27,16:00 EDT,1.8700027,56.0,57.315,55.98,2390345,,,,,,,
TLT,119.08,2022/05/27,16:00 EDT,0.29000092,119.36,119.737,118.74,11190426,,,,,,,
TSLA,759.63,2022/05/27,16:00 EDT,51.900024,723.25,759.8,720.5311,29764994,,,,,,,
TSM,93.77,2022/05/27,16:00 EDT,2.7699966,92.62,93.818,92.53,6279008,,,,,,,
VIG,154.8,2022/05/27,16:00 EDT,2.850006,152.59,154.82,152.59,1102036,,,,,,,
VNQ,100.3,2022/05/27,16:00 EDT,2.6200027,98.19,100.32,98.19,4984641,,,,,,,
VOO,381.8,2022/05/27,16:00 EDT,9.339996,374.94,381.86,374.8,3841966,,,,,,,
VT,94.01,2022/05/27,16:00 EDT,1.8600006,92.77,94.01,92.736,2609268,,,,,,,
VTI,208.07,2022/05/27,16:00 EDT,5.1400146,204.27,208.09,204.18,4361774,,,,,,,
VWO,43.04,2022/05/27,16:00 EDT,0.459999,42.87,43.055,42.7033,13420851,,,,,,,
VYM,112.14,2022/05/27,16:00 EDT,1.5899963,110.79,112.17,110.709,1780691,,,,,,,
VZ,51.4,2022/05/27,16:00 EDT,0.40999985,50.75,51.43,50.53,13347346,,,,,,,
WM,161.0,2022/05/27,16:00 EDT,3.00999,158.27,161.01,158.3795,1518492,,,,,,,
XLE,88.53,2022/05/27,16:00 EDT,1.59,86.55,88.77,86.345,18667247,,,,,,,
XOM,97.59,2022/05/27,16:04 EDT,0.94999695,95.945,97.93,95.3,25588794,,,,,,,
